"","Dive.ID","Material.Type","Code","Length","Width","Median","Weight","Model","Debris._kgs"
"140","D12","plastic","SCOR",3.109,1.868,1.623,1.623,"MEDIAN",28.12272694
"141","D14","plastic","BIVL",4.436,3.35,0.2675,14.4459542756072,"Wpower",73.48196394
"142","D14","plastic","BIVL",6.859,2.448,0.2675,7.49400661715225,"Wpower",73.48196394
"143","D14","plastic","BIVL",5.816,4.178,0.2675,23.1355599737034,"Wpower",73.48196394
"144","D14","plastic","BIVL",4.044,1.986,0.2675,4.90327585152829,"Wpower",73.48196394
"145","D14","plastic","BIVL",7.446,5.178,0.2675,36.7104408733126,"Wpower",73.48196394
"146","D14","plastic","BIVL",4.848,3.968,0.2675,20.7168917719803,"Wpower",73.48196394
"147","D14","plastic","BIVL",4.836,4.381,0.2675,25.6145850915673,"Wpower",73.48196394
"148","D14","plastic","BIVL",3.09,1.601,0.2675,3.2234956385558,"Wpower",73.48196394
"149","D14","plastic","BIVL",4.767,2.289,0.2675,6.53015035428294,"Wpower",73.48196394
"150","D14","plastic","BIVL",6.517,4.94,0.2675,33.1671981007151,"Wpower",73.48196394
"151","D14","plastic","BIVL",2.347,1.04,0.2675,1.51794281135897,"Wpower",73.48196394
"152","D14","plastic","BIVL",2.484,2.565,0.2675,8.25242726897533,"Wpower",73.48196394
"153","D14","plastic","BIVL",9.945,4.685,0.2675,29.5888543729847,"Wpower",73.48196394
"154","D14","plastic","BIVL",3.5,3.438,0.2675,15.2626501924881,"Wpower",73.48196394
"155","D14","plastic","BIVL",3.633,2.782,0.2675,9.77075885079454,"Wpower",73.48196394
"156","D14","plastic","CARD",2.134,0.768,0.0745,0.251479884156754,"LLM",73.48196394
"157","D16","plastic","HCOR",9.44,3.891,2.513,33.612324998185,"WPOLY",145.1495584
"158","D16","plastic","HCOR",13.681,3.931,2.513,34.0561165121174,"WPOLY",145.1495584
"159","D16","plastic","HCOR",4.606,9.821,2.513,128.845660026222,"WPOLY",145.1495584
"160","D16","plastic","SCOR",8.707,6.016,1.623,1.623,"MEDIAN",145.1495584
"161","D16","plastic","SCOR",3.339,1.918,1.623,1.623,"MEDIAN",145.1495584
"162","D17","plastic","CARD",2.345,0.488,0.0745,0.300999589151754,"LLM",116.2557244
"163","D17","plastic","CARD",1.958,0.453,0.0745,0.210174348236754,"LLM",116.2557244
"164","D12","plastic","HCOR",7.271,2.945,2.513,23.9028940127651,"WPOLY",28.12272694
"165","D14","plastic","BIVL",4.061,3.792,0.2675,18.8030476213054,"Wpower",73.48196394
"166","D14","plastic","MTHR",1.784,0.438,0.1395,0.10465935893306,"WLM",73.48196394
"167","D14","plastic","OPHR",NA,NA,0.1,0.1,"WLM",73.48196394
"168","D14","plastic","POLY",4.297,0.323,0.137,3.00305069098524,"Lpower",73.48196394
"169","D14","plastic","POLY",3.544,0.153,0.137,2.63004023133293,"Lpower",73.48196394
"170","D14","plastic","POLY",2.352,0.326,0.137,1.98981409560372,"Lpower",73.48196394
"171","D14","plastic","POLY",1.204,0.237,0.137,1.27769447423287,"Lpower",73.48196394
"172","D14","plastic","POLY",4.704,0.249,0.137,3.1970202313126,"Lpower",73.48196394
"173","D16","plastic","BIVL",0.881,0.441,0.2675,0.595802837123536,"Wpower",145.1495584
"174","D16","plastic","BIVL",0.729,0.339,0.2675,0.522696545604409,"Wpower",145.1495584
"175","D16","plastic","BIVL",1.154,0.592,0.2675,0.74675764628433,"Wpower",145.1495584
"176","D1","unknown","CARD",NA,NA,0.0745,0.0745,"LLM",39.91612856
"177","D1","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",39.91612856
"178","D1","unknown","HCOR",1.909,0.563,2.513,6.13690738725124,"WPOLY",39.91612856
"179","D1","unknown","MTHR",0.308,0.336,0.1395,0.05365275565706,"WLM",39.91612856
"180","D1","unknown","MTHR",0.943,1.239,0.1395,0.50521121407106,"WLM",39.91612856
"181","D1","unknown","MTHR",0.295,0.48,0.1395,0.12566207792906,"WLM",39.91612856
"182","D1","unknown","MTHR",0.298,0.415,0.1395,0.09315786995906,"WLM",39.91612856
"183","D1","unknown","MTHR",0.38,0.408,0.1395,0.08965741679306,"WLM",39.91612856
"184","D1","unknown","MTHR",0.296,0.508,0.1395,0.13966389059306,"WLM",39.91612856
"185","D1","unknown","MTHR",0.772,1.085,0.1395,0.42820124441906,"WLM",39.91612856
"186","D1","unknown","MTHR",0.295,0.38,0.1395,0.07565560412906,"WLM",39.91612856
"187","D1","unknown","MTHR",0.235,0.318,0.1395,0.04465159037306,"WLM",39.91612856
"188","D1","unknown","MTHR",0.479,0.305,0.1395,0.03815074877906,"WLM",39.91612856
"189","D1","unknown","PAGR",0.98,0.544,0.941,0.392537020377247,"WLM",39.91612856
"190","D1","unknown","PAGR",0.748,0.45,0.941,0.190610548513247,"WLM",39.91612856
"191","D1","unknown","PAGR",2.46,0.944,0.941,1.25179860277725,"WLM",39.91612856
"192","D1","unknown","PAGR",1.462,0.797,0.941,0.936019971245247,"WLM",39.91612856
"193","D1","unknown","PAGR",0.685,0.431,0.941,0.149795623349247,"WLM",39.91612856
"194","D1","unknown","PAGR",4.804,2.405,0.941,4.39025153249325,"WLM",39.91612856
"195","D1","unknown","PLMN",0.652,0.676,0.725,1.9578892506118,"LLM",39.91612856
"196","D1","unknown","POLY",3.949,NA,0.137,0.137,"Lpower",39.91612856
"197","D1","unknown","POLY",17.294,0.588,0.137,7.98463418847202,"Lpower",39.91612856
"198","D1","unknown","POLY",3.594,0.324,0.137,2.65544783586853,"Lpower",39.91612856
"199","D1","unknown","XNTH",0.512,0.696,0.416,0.416,"MEDIAN",39.91612856
"200","D2","unknown","BIVL",2.635,1.849,0.2675,4.25654237623891,"Wpower",37.64816671
"201","D2","unknown","BIVL",5.441,4.149,0.2675,22.7927570884336,"Wpower",37.64816671
"202","D2","unknown","BIVL",1.107,1.12,0.2675,1.70933539896223,"Wpower",37.64816671
"203","D2","unknown","MTHR",0.405,0.282,0.1395,0.02664925980506,"WLM",37.64816671
"204","D2","unknown","MTHR",0.712,0.951,0.1395,0.36119256952706,"WLM",37.64816671
"205","D2","unknown","MTHR",0.706,0.904,0.1395,0.33768952684106,"WLM",37.64816671
"206","D2","unknown","MTHR",0.421,0.384,0.1395,0.07765586308106,"WLM",37.64816671
"207","D2","unknown","PAGR",2.267,1.024,0.941,1.42365091925725,"WLM",37.64816671
"208","D2","unknown","PAGR",1.509,0.655,0.941,0.630982109493247,"WLM",37.64816671
"209","D5","unknown","AMPH",NA,NA,0.0315,0.0315,"MEDIAN",74.38914868
"210","D5","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",74.38914868
"211","D5","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",74.38914868
"212","D5","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",74.38914868
"213","D5","unknown","GLRH",0.633,0.521,0.497,0.951803210550992,"Lpower",74.38914868
"214","D5","unknown","GLRH",0.322,0.248,0.497,0.655711342456466,"Lpower",74.38914868
"215","D5","unknown","MTHR",0.379,0.373,0.1395,0.07215515096306,"WLM",74.38914868
"216","D5","unknown","MTHR",0.601,0.455,0.1395,0.11316045947906,"WLM",74.38914868
"217","D5","unknown","MTHR",0.696,0.624,0.1395,0.19767140020106,"WLM",74.38914868
"218","D5","unknown","MTHR",0.715,0.65,0.1395,0.21067308338906,"WLM",74.38914868
"219","D5","unknown","MTHR",0.699,0.708,0.1395,0.23967683819306,"WLM",74.38914868
"220","D5","unknown","MTHR",0.486,0.399,0.1395,0.08515683415106,"WLM",74.38914868
"221","D5","unknown","MTHR",0.368,0.301,0.1395,0.03615048982706,"WLM",74.38914868
"222","D5","unknown","MTHR",0.452,0.389,0.1395,0.08015618677106,"WLM",74.38914868
"223","D5","unknown","MTHR",0.447,0.355,0.1395,0.06315398567906,"WLM",74.38914868
"224","D5","unknown","MTHR",0.563,0.411,0.1395,0.09115761100706,"WLM",74.38914868
"225","D5","unknown","MTHR",0.647,0.636,0.1395,0.20367217705706,"WLM",74.38914868
"226","D5","unknown","MTHR",0.521,0.379,0.1395,0.07515553939106,"WLM",74.38914868
"227","D5","unknown","MTHR",0.47,0.361,0.1395,0.06615437410706,"WLM",74.38914868
"228","D5","unknown","MTHR",0.589,0.46,0.1395,0.11566078316906,"WLM",74.38914868
"229","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"230","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"231","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"232","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"233","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"234","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"235","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"236","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"237","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"238","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"239","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"240","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"241","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"242","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"243","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
