"","Code","Material.Type","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"42","PAGR","unknown",13,1.04661987258423,0.936019971245247,0.304999353077312,0.382083369059177,1.71115637610928,0.076758388845247,4.39025153249325
"43","PALN","unknown",2,0.098,0.098,0,0.098,0.098,0.098,0.098
"44","PLMN","unknown",1,0.725,0.725,NA,NA,NA,0.725,0.725
"45","POLY","cloth",2,0.137,0.137,0,0.137,0.137,0.137,0.137
"46","POLY","concrete",1,1.70995165130401,1.70995165130401,NA,NA,NA,1.70995165130401,1.70995165130401
"47","POLY","metal",5,4.09669432809028,4.68557381359015,1.00603974658834,1.30348019804065,6.88990845813992,0.137,5.48766200663556
"48","POLY","plastic",25,2.34886165545599,2.29372334308371,0.198871742842462,1.93841055145498,2.75931275945701,0.137,4.23564425634247
"49","POLY","unknown",39,2.1803053103637,2.10538257439865,0.261999707572106,1.64991463140809,2.71069598931931,0.137,7.98463418847202
"50","POLY","wood",15,1.74365812347365,1.56903235234647,0.495047715193631,0.68188637404222,2.80542987290507,0.137,7.48152447636185
"51","SCOR","concrete",1,1.623,1.623,NA,NA,NA,1.623,1.623
"52","SCOR","metal",2,1.623,1.623,0,1.623,1.623,1.623,1.623
"53","SCOR","plastic",17,1.623,1.623,0,1.623,1.623,1.623,1.623
"54","SIPN","plastic",1,0.474,0.474,NA,NA,NA,0.474,0.474
"55","STOM","unknown",2,1.033,1.033,0,1.033,1.033,1.033,1.033
"56","XNTH","cloth",1,0.416,0.416,NA,NA,NA,0.416,0.416
"57","XNTH","plastic",1,0.416,0.416,NA,NA,NA,0.416,0.416
"58","XNTH","unknown",8,0.416,0.416,0,0.416,0.416,0.416,0.416
